品种,趋势强度,日期,文件名
棕榈油,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
豆油,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
豆粕,1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
豆一,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
玉米,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
白糖,-1,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
棉花,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
花生,0,2025-08-05,11_国泰君安期货_[合集]_R3_晨报_20250805.pdf
黄金,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
白银,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
铜,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
锌,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
铅,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
锡,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
铝,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
氧化铝,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
铝合金,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
镍,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
不锈钢,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
碳酸锂,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
工业硅,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
多晶硅,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
铁矿石,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
螺纹钢,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
热轧卷板,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
硅铁,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
锰硅,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
焦炭,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
焦煤,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
原木,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
对二甲苯,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
PTA,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
MEG,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
橡胶,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
合成橡胶,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
沥青,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
LLDPE,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
PP,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
烧碱,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
纸浆,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
甲醇,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
尿素,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
苯乙烯,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
纯碱,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
LPG,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
丙烯,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
PVC,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
燃料油,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
低硫燃料油,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
集运指数（欧线）,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
短纤,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
瓶片,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
双胶纸,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
纯苯,-1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
棕榈油,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
豆油,1,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
豆粕,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
豆一,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
玉米,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
白糖,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
棉花,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
花生,0,2025-08-06,11_国泰君安期货_[合集]_R3_晨报_20250806.pdf
铜,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
锌,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
铅,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
铝,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
氧化铝,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
铝合金,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
镍,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
不锈钢,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
碳酸锂,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
工业硅,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
多晶硅,1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
铁矿石,-1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
螺纹钢,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
热轧卷板,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
硅铁,1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
锰硅,1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
焦炭,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
焦煤,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
原木,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
对二甲苯,-1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
PTA,-1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
MEG,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
合成橡胶,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
沥青,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
LLDPE,-1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
PP,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
烧碱,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
甲醇,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
尿素,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
苯乙烯,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
纯碱,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
LPG,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
丙烯,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
PVC,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
燃料油,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
低硫燃料油,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
集运指数（欧线）,-1,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
短纤,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
瓶片,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
双胶纸,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
纯苯,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
棕榈油,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
豆油,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
豆粕,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
豆一,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
玉米,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
白糖,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
棉花,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
花生,0,2025-08-07,11_国泰君安期货_[合集]_R3_晨报_20250807.pdf
黄金,1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
白银,1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
铜,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
锌,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
铅,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
锡,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
铝,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
氧化铝,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
铝合金,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
镍,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
不锈钢,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
碳酸锂,1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
工业硅,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
多晶硅,1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
铁矿石,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
焦炭,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
焦煤,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
原木,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
对二甲苯,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
PTA,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
MEG,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
橡胶,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
合成橡胶,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
沥青,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
LLDPE,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
PP,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
烧碱,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
纸浆,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
甲醇,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
尿素,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
苯乙烯,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
纯碱,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
LPG,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
丙烯,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
PVC,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
燃料油,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
低硫燃料油,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
集运指数（欧线）,-1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
短纤,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
瓶片,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
双胶纸,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
纯苯,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
棕榈油,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
豆油,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
豆粕,1,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
豆一,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
玉米,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
白糖,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
棉花,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
花生,0,2025-08-08,11_国泰君安期货_[合集]_R3_晨报_20250808.pdf
黄金,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
白银,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
铜,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
锌,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
铅,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
锡,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
铝,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
氧化铝,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
铝合金,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
镍,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
不锈钢,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
碳酸锂,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
铁矿石,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
螺纹钢,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
热轧卷板,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
硅铁,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
锰硅,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
焦炭,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
焦煤,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
原木,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
对二甲苯,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
PTA,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
MEG,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
橡胶,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
合成橡胶,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
沥青,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
LLDPE,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
PP,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
烧碱,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
纸浆,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
甲醇,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
尿素,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
纯碱,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
LPG,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
丙烯,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
PVC,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
燃料油,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
低硫燃料油,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
集运指数（欧线）,-1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
短纤,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
瓶片,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
双胶纸,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
纯苯,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
棕榈油,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
豆油,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
豆粕,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
豆一,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
玉米,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
白糖,1,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
棉花,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
花生,0,2025-08-11,11_国泰君安期货_[合集]_R3_晨报_20250811.pdf
黄金,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
白银,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
铜,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
锌,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
铅,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
锡,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
铝,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
氧化铝,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
铝合金,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
镍,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
不锈钢,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
碳酸锂,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
工业硅,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
多晶硅,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
铁矿石,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
螺纹钢,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
热轧卷板,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
硅铁,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
锰硅,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
焦炭,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
焦煤,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
原木,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
对二甲苯,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
PTA,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
MEG,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
橡胶,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
合成橡胶,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
沥青,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
LLDPE,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
PP,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
烧碱,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
纸浆,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
甲醇,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
尿素,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
苯乙烯,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
纯碱,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
LPG,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
丙烯,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
PVC,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
燃料油,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
低硫燃料油,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
集运指数（欧线）,-1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
短纤,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
瓶片,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
双胶纸,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
纯苯,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
棕榈油,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
豆油,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
豆粕,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
豆一,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
玉米,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
白糖,1,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
棉花,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
花生,0,2025-08-12,11_国泰君安期货_[合集]_R3_晨报_20250812.pdf
黄金,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
白银,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
铜,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
锌,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
铅,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
锡,-1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
铝,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
氧化铝,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
铝合金,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
镍,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
不锈钢,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
碳酸锂,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
工业硅,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
多晶硅,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
铁矿石,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
螺纹钢,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
热轧卷板,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
硅铁,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
锰硅,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
焦炭,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
焦煤,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
原木,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
对二甲苯,-1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
PTA,-1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
MEG,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
橡胶,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
合成橡胶,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
沥青,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
LLDPE,-1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
PP,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
烧碱,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
纸浆,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
甲醇,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
尿素,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
苯乙烯,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
纯碱,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
LPG,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
丙烯,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
PVC,-1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
燃料油,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
低硫燃料油,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
集运指数（欧线）,-1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
短纤,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
瓶片,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
双胶纸,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
纯苯,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
棕榈油,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
豆油,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
豆粕,2,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
豆一,1,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
玉米,0,2025-08-13,11_国泰君安期货_[合集]_R3_晨报_20250813.pdf
